ID,ERTS_number,County,City,Address1,Address2,Location,Latitude,Longitude,Medium,Incident_Category,Source_Type,Source,Oil_type,Quantity_total,QuantityToWater,Quantity_Imp,Quantity_recovered,Activity,Cause_Type,Cause,Regulated,Impact,Date_incident,CaseName,ReportID
760,669823,KING,KENT,20007 80TH AVE S,,PACIFIC PRIDE FUEL STATION,47.422829,-122.233823,Fresh water,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,DIESEL/MARINE GAS OIL,5.0,5.0,,5.0,FUELING (NON-VESSEL),EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,CONTAMINATED ROADWAY/PARKING LOT,1/2/2017,PACIFIC PRIDE DIESEL SPILL KENT,175916
762,669837,WALLA WALLA,BURBANK,2763 Monument Dr,,Ice Harbor Dam,46.24692,-118.8808,Stream/River,Oil Spill,Facility,POWER GENERATION UTILITY,OILY WASTE,1.0,1.0,,0.0,STATIC OR PERFORMING DESIGNED FUNCTION,EQUIPMENT/MATERIAL FAILURE,ELECTRICAL FAILURE,N,WATER POLLUTION,1/3/2017,Ice Harbor Dam spill 1/3/2017,175903
767,669964,THURSTON,YELM,16248 148th Ave SE,,148th Ave. SE,46.8723,-122.59781,Ditch - Wet,Vehicular Accident-Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,LUBE OIL/MOTOR OIL,1.0,1.0,,0.0,UNDERWAY OR IN MOTION,UNKNOWN,UNKNOWN,N,"SOIL CONTAMINATION, WATER POLLUTION",1/10/2017,Yelm Rollover Collision Accident,176075
768,669964,THURSTON,YELM,16248 148th Ave SE,,148th Ave. SE,46.8723,-122.59781,Ditch - Wet,Vehicular Accident-Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,TRANSMISSION FLUID,1.0,1.0,,0.0,UNDERWAY OR IN MOTION,UNKNOWN,UNKNOWN,N,"SOIL CONTAMINATION, WATER POLLUTION",1/10/2017,Yelm Rollover Collision Accident,176075
769,669985,COWLITZ,LONGVIEW,940 Industrial Way,,Pacific Pride,46.11649,-122.93686,Catch Basin - Wet,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,DIESEL/MARINE GAS OIL,20.0,20.0,,0.0,FUELING (NON-VESSEL),HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,1/12/2017,Cutomer Overfill,176107
770,670020,KING,SEATTLE,5351 24th Ave NW,,,47.66757,-122.38774,Canal,Oil Spill,Vessel,FISHING VESSEL,HYDRAULIC OIL,2.0,2.0,,,MAINTENANCE/TESTING,HUMAN ERROR,PROCEDURAL ERROR,N,WATER POLLUTION,1/11/2017,F/V Sea Storm hydraulic spill,176139
771,670001,SNOHOMISH,BOTHELL - SNOH,22712 31st Ave SE,,,47.79195,-122.19192,Fresh water,Oil Spill,Vehicle,COMMERCIAL TRUCK,LUBE OIL/MOTOR OIL,1.0,1.0,,,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,POTENTIAL POLLUTION ONLY-NO RELEASE,1/10/2017,Michael's Corporation Hydraulic Oil Spill,176232
772,670003,SNOHOMISH,BOTHELL - SNOH,19005 Bothell Way NE,,Arco,47.76603,-122.21049,Fresh water,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,DIESEL/MARINE GAS OIL,2.0,2.0,,,STATIC OR PERFORMING DESIGNED FUNCTION,UNKNOWN,UNKNOWN,N,WATER POLLUTION,1/10/2017,Mystery Diesel Spill Arco Bothell,176230
775,670043,SKAMANIA,STEVENSON,34841 State Hwy 14,,Beacon Rock State Park,45.62199,-122.02046,Stream/River,Oil Spill,Vessel,RECREATIONAL VESSEL,GASOLINE,15.0,15.0,,0.0,NOT OPERATING OR PERFORMING DESIGNED FUN,HUMAN ERROR,INATTENTION/DISTRACTION,N,POTENTIAL POLLUTION ONLY-NO RELEASE,1/14/2017,PV Maranatha Sinking,176188
779,670116,THURSTON,OLYMPIA,E Bay Rd & Ames Rd,,Priest Point Park/Ames Road,47.0729,-122.89421,Creek,Oil Spill,Vehicle,CONSTRUCTION/UTILITY VEHICLE,HYDRAULIC OIL,1.0,1.0,,0.0,CONSTRUCTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/18/2017,North Sky Communications Oil Spill - Olympia 1-18-17,176507
