ID,ERTS_number,County,City,Address1,Address2,Location,Latitude,Longitude,Medium,Incident_Category,Source_Type,Source,Oil_type,Quantity_total,QuantityToWater,Quantity_Imp,Quantity_recovered,Activity,Cause_Type,Cause,Regulated,Impact,Date_incident,CaseName,ReportID
1,657832,PIERCE,LAKEWOOD-PIERCE,110th Ave & 25th Ave,near industrial area,110th Ave & 25th Ave,47.15751,-122.45998,Fresh water,Oil Spill,Vehicle,COMMERCIAL TRUCK,DIESEL/MARINE GAS OIL,1.0,1.0,,,UNDERWAY OR IN MOTION,HUMAN ERROR,OTHER - HUMAN ERROR,N,POTENTIAL POLLUTION ONLY-NO RELEASE,7/1/2015,Lafon Enterprises Semi Truck Diesel Spill,161024
2,657839,PIERCE,JBLM,,,American Lake / Russel Landing,47.1225,-122.57667,Lake,"Oil Spill,Loss of vessel - Sinking",Vessel,RECREATIONAL VESSEL,GASOLINE,40.0,40.0,,,Z- OTHER,UNKNOWN,UNKNOWN,N,WATER POLLUTION,7/1/2015,"Sunk Pleasure Craft, American Lake JBLM",161027
3,657907,BENTON,RICHLAND,2846 CROSSWATER AVE,,,46.319442,-119.323048,Storm Water Retention Pond - Wet,Oil Spill,Facility,POWER GENERATION UTILITY,MINERAL OIL/TRANSFORMER OIL,75.0,75.0,,,STATIC OR PERFORMING DESIGNED FUNCTION,HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,7/6/2015,Richland Transformer Oil to Storm Drain,162155
5,657969,KING,SEATTLE,MONTLAKE BLVD NE & MARY GATES HWY,,,47.66103,-122.29293,Storm Drain Pipe,Oil Spill,Vehicle,BUS OR PUBLIC TRANSPORTATION,COOLANT,6.0,6.0,,6.0,Z- OTHER,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,7/7/2015,King County Metro Coolant Release ERTS# 657969 07/07/2015,161222
6,658035,SNOHOMISH,SNOHOMISH,6511 E LOWELL LARIMER RD,,US GOLDEN EAGLE FARMS,47.91407,-122.14691,Ditch - Wet,Oil Spill,Private Property,DRUM OR CONTAINER,DIESEL/MARINE GAS OIL,150.0,150.0,,135.0,UNDERWAY OR IN MOTION,HUMAN ERROR,INATTENTION/DISTRACTION,N,"SOIL CONTAMINATION, WATER POLLUTION",7/1/2015,US Golden Eagle Farms diesel spill,161275
9,658151,KING,SEATTLE,4701 Shilshole Ave NW,,,47.66243,-122.37913,Fresh water,Oil Spill,Vessel,OTHER - VESSEL,DIESEL/MARINE GAS OIL,1.409999966621400,1.409999966621400,,,Z- UNKNOWN,UNKNOWN,UNKNOWN,N,WATER POLLUTION,7/15/2015,ERTS# 658151- Unknown Sheen in Ballard,161371
10,658184,THURSTON,LACEY,4603 Lacey Blvd SE,,Chevron Station,47.03554,-122.82284,Storm Drain Pipe,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,GASOLINE,1.0,1.0,,1.0,Transferring,"QUIPMENT/MATERIAL FAILURE,HUMAN ERROR","IMPROPER EQUIPMENT USE, MECHANICAL FAILURE",N,CONTAMINATED ROADWAY/PARKING LOT,7/12/2015,Boulevard Chevron Gas Overfill,164110
12,658248,KING,SEATTLE,2100 W COMMADORE WAY,,SALMON BAY MARINA,47.66032,-122.382993,Fresh water,Oil Spill,Vessel,RECREATIONAL VESSEL,DIESEL/MARINE GAS OIL,1.0,1.0,,0.0,BILGE PUMPING,HUMAN ERROR,LACK OF SITUATIONAL AWARENESS,N,WATER POLLUTION,7/19/2015,SALMON BAY MARINA SHEEN SEATTLE ERTS 658248,161572
19,658383,KING,KIRKLAND,116 CENTRAL WAY,,,47.676597,-122.207256,Fresh water,Oil Spill,Private Property,DRUM OR CONTAINER,EDIBLE/VEGETABLE OIL,10.0,10.0,,,Z- OTHER,ORG/MANAGEMENT FAILURE,EQUIPMENT/SYSTEM DESIGN,N,"CONTAMINATED ROADWAY/PARKING LOT, WATER POLLUTION",7/22/2015,Kirkland Cooking Oil spill,161679
20,658466,SAN JUAN,FRIDAY HARBOR,285 SPRING ST,,SHELL GAS STATION,48.533754,-123.017504,Fresh water,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,GASOLINE,1.0,1.0,,,FUELING (NON-VESSEL),EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,7/29/2015,Friday Harbor Shell station gasoline spill,161682
